n_clusters,K-Means++,SpectralClustering
2,2.1236597211174706,2.143485804722935
3,1.7915373488193618,1.7764767137308952
4,1.6143321878313313,1.6220344832704352
5,1.6366847159189617,1.582179722517877
6,1.4695104119796534,1.5062883018666284
7,1.37529481104653,1.3784367659314452
8,1.2321909988439792,1.3078700037483655
