n_clusters,K-Means++,SpectralClustering
2,84.54658015610406,84.54658015610406
3,121.02658880834431,113.66698372109178
4,138.12145503626138,90.40488616316115
5,148.31083012291776,128.7492934487798
6,176.4097740422061,157.94122730049276
7,238.86995382698612,132.34501136572874
8,282.1629346038678,104.50877602081272
