n_clusters,K-Means++,SpectralClustering
2,0.6009380094048663,0.6009380094048663
3,0.5863726375144174,0.5759404991961738
4,0.5430290358736621,0.4343072924885189
5,0.4993557944115798,0.45699312312754736
6,0.4999361255906273,0.46662731189322054
7,0.5451543288722688,0.34412503255958665
8,0.5832895590132225,0.329421177838169
