n_clusters,K-Means++,SpectralClustering
2,10.732482948833907,10.732482948833907
3,7.94845656760475,7.822685353544389
4,6.600644312870193,6.677951050427516
5,5.506938447116014,5.563674772236612
6,5.1883439162841665,4.882982893078438
7,4.64191519047031,4.7573397829959445
8,4.489420249174791,4.735653826260275
