n_clusters,K-Means++,SpectralClustering
2,2.219051692612001,2.352451435821306
3,2.08017201867844,2.1074941862551175
4,1.9980763517233646,1.9010505762599297
5,1.6065806685553645,1.629482320451919
6,1.4631386216737627,1.4358102956311096
7,1.4252195407914965,1.3337850174322736
8,1.3367750424661553,1.47528957262051
