n_clusters,K-Means++,SpectralClustering
2,0.1135298489637351,0.07198742053161437
3,0.08833878529314963,0.08412888596200657
4,0.09231562871010952,0.08320581251707464
5,0.061764118138660666,0.07020778842060939
6,0.07712002964617351,0.08406810653263212
7,0.0795561356471148,0.06388483255811003
8,0.06437489204039175,0.05534785921330167
