n_clusters,K-Means++,SpectralClustering
2,2.4050569274576756,2.4036582525381682
3,2.214684474354742,2.0981537313652967
4,2.033654142588374,1.886701034967917
5,1.7712998113444982,1.8574351044818858
6,1.6351228295068563,1.5852322121355362
7,1.5144262429598352,1.439920735138977
8,1.3927435426180743,1.3276333799647753
