n_clusters,K-Means++,SpectralClustering
2,1.6000277623293293,1.6000277623293293
3,1.9573162490252847,1.9573162490252844
4,1.667176874764025,1.6768528481680385
5,1.4727864068693355,1.573565372410159
6,1.3590203200979412,1.4711786384554493
7,1.3266739976064972,1.4095647442217205
8,1.2558739694939534,1.2797603659523045
