n_clusters,K-Means++,SpectralClustering
2,3.5444052455896,3.1797909029887133
3,3.005423653952823,3.3055246787584545
4,2.9285685959751935,3.0196217361701425
5,2.708078512052542,2.9643424339608857
6,2.6661867398353563,2.810152142475705
7,2.639610984107349,2.913099452957815
8,2.577923039498219,2.8998811125954593
